input,target,lang,plural
de leraars achtervolgt de dokters,de leraars heeft de dokters achtervolgd,nl,True
de leraars volgt de meisjes,de leraars heeft de meisjes gevolgd,nl,True
les chats réconforte les enfants,les chats a réconforté les enfants,fr,True
de meisjes volgt de apen,de meisjes heeft de apen gevolgd,nl,True
les garçons frappe les chiens,les garçons a frappé les chiens,fr,True
les enfants mange les amis,les enfants a mangé les amis,fr,True
de apen zoent de paarden,de apen heeft de paarden gezoend,nl,True
le garçon regarde le oiseau,le garçon a regardé le oiseau,fr,False
les hommes soigne les ennemis,les hommes a soigné les ennemis,fr,True
de tijger zoent de jongen,de tijger heeft de jongen gezoend,nl,False
de vogel zoekt de vriend,de vogel heeft de vriend gezocht,nl,False
les filles suit les ennemis,les filles a suivi les ennemis,fr,True
de aap observeert de jongen,de aap heeft de jongen geobserveerd,nl,False
de vijand jaagt de vriend,de vijand heeft de vriend gejaagd,nl,False
de leeuwen achtervolgt de leraars,de leeuwen heeft de leraars achtervolgd,nl,True
de kinderen observeert de vossen,de kinderen heeft de vossen geobserveerd,nl,True
les chats suit les enfants,les chats a suivi les enfants,fr,True
de meisjes volgt de jongens,de meisjes heeft de jongens gevolgd,nl,True
les femmes frappe les chevaux,les femmes a frappé les chevaux,fr,True
le fille cherche le ennemi,le fille a cherché le ennemi,fr,False
les femmes aime les ennemis,les femmes a aimé les ennemis,fr,True
le ennemi frappe le oiseau,le ennemi a frappé le oiseau,fr,False
de leraars duwt de tijgers,de leraars heeft de tijgers geduwd,nl,True
de vijand eet de jongen,de vijand heeft de jongen gegeten,nl,False
le singe poursuit le oiseau,le singe a poursuivi le oiseau,fr,False
le tigre soigne le homme,le tigre a soigné le homme,fr,False
les souris soigne les docteurs,les souris a soigné les docteurs,fr,True
de leraars helpt de leeuwen,de leraars heeft de leeuwen geholpen,nl,True
les docteurs suit les éléphants,les docteurs a suivi les éléphants,fr,True
le femme aime le cheval,le femme a aimé le cheval,fr,False
de olifanten valt de vossen,de olifanten heeft de vossen aangevallen,nl,True
de dokter zoekt de hond,de dokter heeft de hond gezocht,nl,False
de vijanden troost de apen,de vijanden heeft de apen getroost,nl,True
les renards aide les amis,les renards a aidé les amis,fr,True
de vrouwen redt de dokters,de vrouwen heeft de dokters gered,nl,True
les chiens cherche les loups,les chiens a cherché les loups,fr,True
de vrouw duwt de jongen,de vrouw heeft de jongen geduwd,nl,False
les loups aide les chevaux,les loups a aidé les chevaux,fr,True
de apen achtervolgt de vijanden,de apen heeft de vijanden achtervolgd,nl,True
les éléphants chasse les singes,les éléphants a chassé les singes,fr,True
le cheval chasse le chat,le cheval a chassé le chat,fr,False
les éléphants réconforte les souris,les éléphants a réconforté les souris,fr,True
le tigre observe le ami,le tigre a observé le ami,fr,False
les loups suit les filles,les loups a suivi les filles,fr,True
le ennemi sauve le cheval,le ennemi a sauvé le cheval,fr,False
le docteur suit le renard,le docteur a suivi le renard,fr,False
les éléphants attaque les tigres,les éléphants a attaqué les tigres,fr,True
les loups mange les chats,les loups a mangé les chats,fr,True
le tigre cherche le chat,le tigre a cherché le chat,fr,False
de kinderen duwt de vossen,de kinderen heeft de vossen geduwd,nl,True
le professeur soigne le tigre,le professeur a soigné le tigre,fr,False
de meisje helpt de olifant,de meisje heeft de olifant geholpen,nl,False
les renards voit les garçons,les renards a vu les garçons,fr,True
de honden valt de muizen,de honden heeft de muizen aangevallen,nl,True
les amis frappe les singes,les amis a frappé les singes,fr,True
les chats regarde les oiseaux,les chats a regardé les oiseaux,fr,True
le ennemi poursuit le tigre,le ennemi a poursuivi le tigre,fr,False
les femmes sauve les oiseaux,les femmes a sauvé les oiseaux,fr,True
de paard bekijkt de vijand,de paard heeft de vijand bekeken,nl,False
de olifanten bekijkt de leeuwen,de olifanten heeft de leeuwen bekeken,nl,True
de paard slaat de meisje,de paard heeft de meisje geslagen,nl,False
de paarden negeert de muizen,de paarden heeft de muizen genegeerd,nl,True
les filles attaque les garçons,les filles a attaqué les garçons,fr,True
les renards chasse les tigres,les renards a chassé les tigres,fr,True
de meisjes draagt de olifanten,de meisjes heeft de olifanten gedragen,nl,True
de tijger duwt de vogel,de tijger heeft de vogel geduwd,nl,False
le ami cherche le femme,le ami a cherché le femme,fr,False
de vossen slaat de vrouwen,de vossen heeft de vrouwen geslagen,nl,True
de kinderen verzorgt de jongens,de kinderen heeft de jongens verzorgd,nl,True
de kind duwt de leeuw,de kind heeft de leeuw geduwd,nl,False
le garçon attaque le enfant,le garçon a attaqué le enfant,fr,False
de vossen draagt de leraars,de vossen heeft de leraars gedragen,nl,True
le ennemi aime le cheval,le ennemi a aimé le cheval,fr,False
de vijand duwt de leraar,de vijand heeft de leraar geduwd,nl,False
de apen redt de jongens,de apen heeft de jongens gered,nl,True
de jongens eet de vrienden,de jongens heeft de vrienden gegeten,nl,True
de tijgers slaat de leraars,de tijgers heeft de leraars geslagen,nl,True
les amis chasse les renards,les amis a chassé les renards,fr,True
de aap verzorgt de vos,de aap heeft de vos verzorgd,nl,False
le enfant attaque le tigre,le enfant a attaqué le tigre,fr,False
de jongen zoent de vos,de jongen heeft de vos gezoend,nl,False
de vriend helpt de leraar,de vriend heeft de leraar geholpen,nl,False
de honden observeert de leraars,de honden heeft de leraars geobserveerd,nl,True
le homme voit le enfant,le homme a vu le enfant,fr,False
les professeurs réconforte les filles,les professeurs a réconforté les filles,fr,True
de vrouwen achtervolgt de dokters,de vrouwen heeft de dokters achtervolgd,nl,True
le cheval porte le ami,le cheval a porté le ami,fr,False
le singe aime le loup,le singe a aimé le loup,fr,False
le singe poursuit le femme,le singe a poursuivi le femme,fr,False
le loup porte le renard,le loup a porté le renard,fr,False
de jongens valt de dokters,de jongens heeft de dokters aangevallen,nl,True
de vogels verzorgt de apen,de vogels heeft de apen verzorgd,nl,True
les chevaux soigne les singes,les chevaux a soigné les singes,fr,True
les éléphants frappe les filles,les éléphants a frappé les filles,fr,True
de tijgers negeert de vrienden,de tijgers heeft de vrienden genegeerd,nl,True
les garçons observe les ennemis,les garçons a observé les ennemis,fr,True
de paard slaat de muis,de paard heeft de muis geslagen,nl,False
de vrouw zoekt de muis,de vrouw heeft de muis gezocht,nl,False
le femme porte le loup,le femme a porté le loup,fr,False
le souris embrasse le éléphant,le souris a embrassé le éléphant,fr,False
le chien embrasse le singe,le chien a embrassé le singe,fr,False
les docteurs aime les filles,les docteurs a aimé les filles,fr,True
de vogels slaat de honden,de vogels heeft de honden geslagen,nl,True
de honden eet de jongens,de honden heeft de jongens gegeten,nl,True
le ennemi porte le fille,le ennemi a porté le fille,fr,False
les professeurs frappe les singes,les professeurs a frappé les singes,fr,True
le homme mange le renard,le homme a mangé le renard,fr,False
de vossen valt de paarden,de vossen heeft de paarden aangevallen,nl,True
de olifant zoent de tijger,de olifant heeft de tijger gezoend,nl,False
le cheval sauve le ami,le cheval a sauvé le ami,fr,False
les oiseaux frappe les professeurs,les oiseaux a frappé les professeurs,fr,True
de jongen bekijkt de muis,de jongen heeft de muis bekeken,nl,False
le oiseau poursuit le chat,le oiseau a poursuivi le chat,fr,False
de aap draagt de kat,de aap heeft de kat gedragen,nl,False
les renards suit les chats,les renards a suivi les chats,fr,True
le professeur ignore le singe,le professeur a ignoré le singe,fr,False
de vogel observeert de dokter,de vogel heeft de dokter geobserveerd,nl,False
de vogel jaagt de aap,de vogel heeft de aap gejaagd,nl,False
de leraar verzorgt de olifant,de leraar heeft de olifant verzorgd,nl,False
de mannen verzorgt de katten,de mannen heeft de katten verzorgd,nl,True
de vrienden negeert de kinderen,de vrienden heeft de kinderen genegeerd,nl,True
les renards voit les amis,les renards a vu les amis,fr,True
de vriend valt de tijger,de vriend heeft de tijger aangevallen,nl,False
les garçons porte les souris,les garçons a porté les souris,fr,True
le loup regarde le garçon,le loup a regardé le garçon,fr,False
les tigres attaque les oiseaux,les tigres a attaqué les oiseaux,fr,True
de kind ziet de tijger,de kind heeft de tijger gezien,nl,False
de leraars negeert de vrouwen,de leraars heeft de vrouwen genegeerd,nl,True
de jongen zoekt de man,de jongen heeft de man gezocht,nl,False
de tijger volgt de aap,de tijger heeft de aap gevolgd,nl,False
le enfant sauve le singe,le enfant a sauvé le singe,fr,False
de tijger jaagt de man,de tijger heeft de man gejaagd,nl,False
de meisje volgt de man,de meisje heeft de man gevolgd,nl,False
le chat mange le tigre,le chat a mangé le tigre,fr,False
de vos mag de paard,de vos heeft de paard gemogen,nl,False
le professeur embrasse le homme,le professeur a embrassé le homme,fr,False
de hond zoent de kat,de hond heeft de kat gezoend,nl,False
les chats réconforte les femmes,les chats a réconforté les femmes,fr,True
les éléphants aime les chiens,les éléphants a aimé les chiens,fr,True
de jongen bekijkt de vogel,de jongen heeft de vogel bekeken,nl,False
le femme porte le chien,le femme a porté le chien,fr,False
de leeuwen valt de kinderen,de leeuwen heeft de kinderen aangevallen,nl,True
les souris embrasse les professeurs,les souris a embrassé les professeurs,fr,True
les oiseaux porte les singes,les oiseaux a porté les singes,fr,True
de leeuwen volgt de honden,de leeuwen heeft de honden gevolgd,nl,True
les amis soigne les tigres,les amis a soigné les tigres,fr,True
de jongens troost de dokters,de jongens heeft de dokters getroost,nl,True
le loup réconforte le fille,le loup a réconforté le fille,fr,False
les hommes poursuit les garçons,les hommes a poursuivi les garçons,fr,True
de jongen redt de paard,de jongen heeft de paard gered,nl,False
le docteur cherche le garçon,le docteur a cherché le garçon,fr,False
de paard duwt de aap,de paard heeft de aap geduwd,nl,False
de tijgers duwt de meisjes,de tijgers heeft de meisjes geduwd,nl,True
de leraars slaat de olifanten,de leraars heeft de olifanten geslagen,nl,True
de aap ziet de vos,de aap heeft de vos gezien,nl,False
de kinderen valt de vrouwen,de kinderen heeft de vrouwen aangevallen,nl,True
le renard aime le professeur,le renard a aimé le professeur,fr,False
de olifanten eet de meisjes,de olifanten heeft de meisjes gegeten,nl,True
les chiens réconforte les loups,les chiens a réconforté les loups,fr,True
de vrouw slaat de vriend,de vrouw heeft de vriend geslagen,nl,False
les loups réconforte les tigres,les loups a réconforté les tigres,fr,True
les chevaux porte les amis,les chevaux a porté les amis,fr,True
le souris chasse le professeur,le souris a chassé le professeur,fr,False
les professeurs aide les loups,les professeurs a aidé les loups,fr,True
le souris regarde le renard,le souris a regardé le renard,fr,False
de vrouw ziet de meisje,de vrouw heeft de meisje gezien,nl,False
de leeuw zoent de kat,de leeuw heeft de kat gezoend,nl,False
le enfant ignore le chat,le enfant a ignoré le chat,fr,False
le professeur embrasse le ennemi,le professeur a embrassé le ennemi,fr,False
de vrouw negeert de dokter,de vrouw heeft de dokter genegeerd,nl,False
de katten ziet de kinderen,de katten heeft de kinderen gezien,nl,True
de jongens duwt de vrienden,de jongens heeft de vrienden geduwd,nl,True
les singes aime les hommes,les singes a aimé les hommes,fr,True
de jongen redt de muis,de jongen heeft de muis gered,nl,False
le singe aide le professeur,le singe a aidé le professeur,fr,False
de jongens zoekt de kinderen,de jongens heeft de kinderen gezocht,nl,True
le tigre repousse le loup,le tigre a repoussé le loup,fr,False
les chats poursuit les souris,les chats a poursuivi les souris,fr,True
de paard mag de meisje,de paard heeft de meisje gemogen,nl,False
le souris voit le cheval,le souris a vu le cheval,fr,False
de vogels achtervolgt de leraars,de vogels heeft de leraars achtervolgd,nl,True
de katten slaat de jongens,de katten heeft de jongens geslagen,nl,True
de jongen jaagt de vogel,de jongen heeft de vogel gejaagd,nl,False
le professeur réconforte le singe,le professeur a réconforté le singe,fr,False
de dokter redt de olifant,de dokter heeft de olifant gered,nl,False
de muizen valt de vrienden,de muizen heeft de vrienden aangevallen,nl,True
les filles frappe les éléphants,les filles a frappé les éléphants,fr,True
le renard voit le ami,le renard a vu le ami,fr,False
le fille réconforte le garçon,le fille a réconforté le garçon,fr,False
de muizen valt de olifanten,de muizen heeft de olifanten aangevallen,nl,True
les éléphants regarde les chiens,les éléphants a regardé les chiens,fr,True
les professeurs voit les filles,les professeurs a vu les filles,fr,True
le professeur mange le femme,le professeur a mangé le femme,fr,False
de aap negeert de jongen,de aap heeft de jongen genegeerd,nl,False
le éléphant porte le homme,le éléphant a porté le homme,fr,False
les enfants aide les chats,les enfants a aidé les chats,fr,True
le oiseau ignore le loup,le oiseau a ignoré le loup,fr,False
le oiseau attaque le ennemi,le oiseau a attaqué le ennemi,fr,False
les hommes soigne les garçons,les hommes a soigné les garçons,fr,True
de kat zoent de tijger,de kat heeft de tijger gezoend,nl,False
le oiseau mange le souris,le oiseau a mangé le souris,fr,False
de kind helpt de man,de kind heeft de man geholpen,nl,False
le loup ignore le ami,le loup a ignoré le ami,fr,False
le professeur regarde le cheval,le professeur a regardé le cheval,fr,False
le cheval soigne le chat,le cheval a soigné le chat,fr,False
le singe ignore le oiseau,le singe a ignoré le oiseau,fr,False
de olifanten negeert de jongens,de olifanten heeft de jongens genegeerd,nl,True
de honden mag de olifanten,de honden heeft de olifanten gemogen,nl,True
de vijand troost de aap,de vijand heeft de aap getroost,nl,False
de leeuwen volgt de muizen,de leeuwen heeft de muizen gevolgd,nl,True
les chats soigne les filles,les chats a soigné les filles,fr,True
les singes aime les chats,les singes a aimé les chats,fr,True
les renards poursuit les hommes,les renards a poursuivi les hommes,fr,True
le enfant observe le ennemi,le enfant a observé le ennemi,fr,False
de vogel achtervolgt de vrouw,de vogel heeft de vrouw achtervolgd,nl,False
le chien porte le docteur,le chien a porté le docteur,fr,False
de tijgers negeert de vrouwen,de tijgers heeft de vrouwen genegeerd,nl,True
de leeuwen observeert de leraars,de leeuwen heeft de leraars geobserveerd,nl,True
les chiens réconforte les filles,les chiens a réconforté les filles,fr,True
de olifant helpt de dokter,de olifant heeft de dokter geholpen,nl,False
de vrouwen slaat de vossen,de vrouwen heeft de vossen geslagen,nl,True
de apen ziet de jongens,de apen heeft de jongens gezien,nl,True
les oiseaux observe les éléphants,les oiseaux a observé les éléphants,fr,True
le cheval embrasse le chat,le cheval a embrassé le chat,fr,False
le tigre aime le enfant,le tigre a aimé le enfant,fr,False
les tigres repousse les professeurs,les tigres a repoussé les professeurs,fr,True
de vrouw zoent de vos,de vrouw heeft de vos gezoend,nl,False
de muizen bekijkt de vrienden,de muizen heeft de vrienden bekeken,nl,True
de apen helpt de dokters,de apen heeft de dokters geholpen,nl,True
de meisje mag de vriend,de meisje heeft de vriend gemogen,nl,False
de dokters jaagt de apen,de dokters heeft de apen gejaagd,nl,True
le femme sauve le souris,le femme a sauvé le souris,fr,False
le ennemi chasse le fille,le ennemi a chassé le fille,fr,False
de dokters achtervolgt de apen,de dokters heeft de apen achtervolgd,nl,True
le tigre mange le garçon,le tigre a mangé le garçon,fr,False
les éléphants ignore les garçons,les éléphants a ignoré les garçons,fr,True
de vos ziet de vriend,de vos heeft de vriend gezien,nl,False
le cheval suit le tigre,le cheval a suivi le tigre,fr,False
de paarden redt de mannen,de paarden heeft de mannen gered,nl,True
les singes aime les souris,les singes a aimé les souris,fr,True
les renards sauve les loups,les renards a sauvé les loups,fr,True
les docteurs frappe les oiseaux,les docteurs a frappé les oiseaux,fr,True
le loup mange le enfant,le loup a mangé le enfant,fr,False
de vrouw negeert de leeuw,de vrouw heeft de leeuw genegeerd,nl,False
les ennemis poursuit les chiens,les ennemis a poursuivi les chiens,fr,True
de kat verzorgt de vogel,de kat heeft de vogel verzorgd,nl,False
le singe poursuit le cheval,le singe a poursuivi le cheval,fr,False
de vriend verzorgt de aap,de vriend heeft de aap verzorgd,nl,False
les singes réconforte les professeurs,les singes a réconforté les professeurs,fr,True
le ennemi poursuit le ami,le ennemi a poursuivi le ami,fr,False
les chiens observe les filles,les chiens a observé les filles,fr,True
de muis duwt de jongen,de muis heeft de jongen geduwd,nl,False
de leraar eet de hond,de leraar heeft de hond gegeten,nl,False
de kat negeert de dokter,de kat heeft de dokter genegeerd,nl,False
le tigre regarde le chat,le tigre a regardé le chat,fr,False
le souris repousse le femme,le souris a repoussé le femme,fr,False
les chats ignore les garçons,les chats a ignoré les garçons,fr,True
le professeur porte le cheval,le professeur a porté le cheval,fr,False
les garçons regarde les filles,les garçons a regardé les filles,fr,True
les chevaux aide les oiseaux,les chevaux a aidé les oiseaux,fr,True
de leeuw draagt de meisje,de leeuw heeft de meisje gedragen,nl,False
de tijgers eet de vijanden,de tijgers heeft de vijanden gegeten,nl,True
de vrienden troost de paarden,de vrienden heeft de paarden getroost,nl,True
de mannen mag de tijgers,de mannen heeft de tijgers gemogen,nl,True
de katten bekijkt de honden,de katten heeft de honden bekeken,nl,True
le homme cherche le chat,le homme a cherché le chat,fr,False
de aap verzorgt de dokter,de aap heeft de dokter verzorgd,nl,False
de jongens achtervolgt de meisjes,de jongens heeft de meisjes achtervolgd,nl,True
de leraars valt de mannen,de leraars heeft de mannen aangevallen,nl,True
les chevaux frappe les filles,les chevaux a frappé les filles,fr,True
de mannen eet de honden,de mannen heeft de honden gegeten,nl,True
le garçon porte le ennemi,le garçon a porté le ennemi,fr,False
les chevaux cherche les garçons,les chevaux a cherché les garçons,fr,True
de olifanten ziet de vijanden,de olifanten heeft de vijanden gezien,nl,True
de leeuwen mag de tijgers,de leeuwen heeft de tijgers gemogen,nl,True
le loup embrasse le chien,le loup a embrassé le chien,fr,False
le ami voit le renard,le ami a vu le renard,fr,False
de vijanden duwt de vossen,de vijanden heeft de vossen geduwd,nl,True
de hond draagt de vriend,de hond heeft de vriend gedragen,nl,False
les ennemis réconforte les chats,les ennemis a réconforté les chats,fr,True
de dokters draagt de olifanten,de dokters heeft de olifanten gedragen,nl,True
de paarden troost de apen,de paarden heeft de apen getroost,nl,True
de paard volgt de kat,de paard heeft de kat gevolgd,nl,False
de paarden zoekt de vrienden,de paarden heeft de vrienden gezocht,nl,True
de paard eet de vogel,de paard heeft de vogel gegeten,nl,False
de jongens mag de vossen,de jongens heeft de vossen gemogen,nl,True
le ennemi embrasse le éléphant,le ennemi a embrassé le éléphant,fr,False
de vogels ziet de dokters,de vogels heeft de dokters gezien,nl,True
de paarden slaat de katten,de paarden heeft de katten geslagen,nl,True
le souris ignore le ennemi,le souris a ignoré le ennemi,fr,False
de kinderen observeert de muizen,de kinderen heeft de muizen geobserveerd,nl,True
de olifanten achtervolgt de vrienden,de olifanten heeft de vrienden achtervolgd,nl,True
de vos volgt de kind,de vos heeft de kind gevolgd,nl,False
les éléphants réconforte les chiens,les éléphants a réconforté les chiens,fr,True
les oiseaux observe les garçons,les oiseaux a observé les garçons,fr,True
les hommes réconforte les amis,les hommes a réconforté les amis,fr,True
les renards observe les oiseaux,les renards a observé les oiseaux,fr,True
les enfants cherche les chiens,les enfants a cherché les chiens,fr,True
de apen achtervolgt de katten,de apen heeft de katten achtervolgd,nl,True
les souris voit les garçons,les souris a vu les garçons,fr,True
le cheval attaque le ennemi,le cheval a attaqué le ennemi,fr,False
de tijger jaagt de kat,de tijger heeft de kat gejaagd,nl,False
de paard zoekt de leraar,de paard heeft de leraar gezocht,nl,False
de vogels redt de meisjes,de vogels heeft de meisjes gered,nl,True
de dokters bekijkt de vogels,de dokters heeft de vogels bekeken,nl,True
le tigre porte le docteur,le tigre a porté le docteur,fr,False
de jongens verzorgt de muizen,de jongens heeft de muizen verzorgd,nl,True
de vriend bekijkt de meisje,de vriend heeft de meisje bekeken,nl,False
le enfant poursuit le tigre,le enfant a poursuivi le tigre,fr,False
de dokter eet de meisje,de dokter heeft de meisje gegeten,nl,False
de honden observeert de jongens,de honden heeft de jongens geobserveerd,nl,True
de vrienden troost de kinderen,de vrienden heeft de kinderen getroost,nl,True
le chien embrasse le cheval,le chien a embrassé le cheval,fr,False
les amis ignore les ennemis,les amis a ignoré les ennemis,fr,True
le ennemi ignore le femme,le ennemi a ignoré le femme,fr,False
le enfant suit le professeur,le enfant a suivi le professeur,fr,False
de dokters duwt de leeuwen,de dokters heeft de leeuwen geduwd,nl,True
le renard regarde le docteur,le renard a regardé le docteur,fr,False
le souris aide le éléphant,le souris a aidé le éléphant,fr,False
les professeurs frappe les loups,les professeurs a frappé les loups,fr,True
de leeuw zoekt de paard,de leeuw heeft de paard gezocht,nl,False
