input,target,lang,plural,subj,obj,verb
le chien voit le souris,le chien a vu le souris,fr,False,chien,souris,voit
les chiens voient les souris,les chiens a vu les souris,fr,True,chien,souris,voit
le chien aime le souris,le chien a aimé le souris,fr,False,chien,souris,aime
les chiens aiment les souris,les chiens a aimé les souris,fr,True,chien,souris,aime
le chien cherche le souris,le chien a cherché le souris,fr,False,chien,souris,cherche
les chiens cherchent les souris,les chiens a cherché les souris,fr,True,chien,souris,cherche
le chien aide le souris,le chien a aidé le souris,fr,False,chien,souris,aide
les chiens aident les souris,les chiens a aidé les souris,fr,True,chien,souris,aide
le chien suit le souris,le chien a suivi le souris,fr,False,chien,souris,suit
les chiens suivent les souris,les chiens a suivi les souris,fr,True,chien,souris,suit
le chien frappe le souris,le chien a frappé le souris,fr,False,chien,souris,frappe
les chiens frappent les souris,les chiens a frappé les souris,fr,True,chien,souris,frappe
le chien porte le souris,le chien a porté le souris,fr,False,chien,souris,porte
les chiens portent les souris,les chiens a porté les souris,fr,True,chien,souris,porte
le chien embrasse le souris,le chien a embrassé le souris,fr,False,chien,souris,embrasse
les chiens embrassent les souris,les chiens a embrassé les souris,fr,True,chien,souris,embrasse
le chien soigne le souris,le chien a soigné le souris,fr,False,chien,souris,soigne
les chiens soignent les souris,les chiens a soigné les souris,fr,True,chien,souris,soigne
le chien poursuit le souris,le chien a poursuivi le souris,fr,False,chien,souris,poursuit
les chiens poursuivent les souris,les chiens a poursuivi les souris,fr,True,chien,souris,poursuit
le chien sauve le souris,le chien a sauvé le souris,fr,False,chien,souris,sauve
les chiens sauvent les souris,les chiens a sauvé les souris,fr,True,chien,souris,sauve
le chien réconforte le souris,le chien a réconforté le souris,fr,False,chien,souris,réconforte
les chiens réconfortent les souris,les chiens a réconforté les souris,fr,True,chien,souris,réconforte
le chien repousse le souris,le chien a repoussé le souris,fr,False,chien,souris,repousse
les chiens repoussent les souris,les chiens a repoussé les souris,fr,True,chien,souris,repousse
le chien regarde le souris,le chien a regardé le souris,fr,False,chien,souris,regarde
les chiens regardent les souris,les chiens a regardé les souris,fr,True,chien,souris,regarde
le chien ignore le souris,le chien a ignoré le souris,fr,False,chien,souris,ignore
les chiens ignorent les souris,les chiens a ignoré les souris,fr,True,chien,souris,ignore
le chien mange le éléphant,le chien a mangé le éléphant,fr,False,chien,éléphant,mange
les chiens mangent les éléphants,les chiens a mangé les éléphants,fr,True,chien,éléphant,mange
le chien voit le éléphant,le chien a vu le éléphant,fr,False,chien,éléphant,voit
les chiens voient les éléphants,les chiens a vu les éléphants,fr,True,chien,éléphant,voit
le chien aime le éléphant,le chien a aimé le éléphant,fr,False,chien,éléphant,aime
les chiens aiment les éléphants,les chiens a aimé les éléphants,fr,True,chien,éléphant,aime
le chien cherche le éléphant,le chien a cherché le éléphant,fr,False,chien,éléphant,cherche
les chiens cherchent les éléphants,les chiens a cherché les éléphants,fr,True,chien,éléphant,cherche
le chien aide le éléphant,le chien a aidé le éléphant,fr,False,chien,éléphant,aide
les chiens aident les éléphants,les chiens a aidé les éléphants,fr,True,chien,éléphant,aide
le chien suit le éléphant,le chien a suivi le éléphant,fr,False,chien,éléphant,suit
les chiens suivent les éléphants,les chiens a suivi les éléphants,fr,True,chien,éléphant,suit
le chien frappe le éléphant,le chien a frappé le éléphant,fr,False,chien,éléphant,frappe
les chiens frappent les éléphants,les chiens a frappé les éléphants,fr,True,chien,éléphant,frappe
le chien porte le éléphant,le chien a porté le éléphant,fr,False,chien,éléphant,porte
les chiens portent les éléphants,les chiens a porté les éléphants,fr,True,chien,éléphant,porte
le chien embrasse le éléphant,le chien a embrassé le éléphant,fr,False,chien,éléphant,embrasse
les chiens embrassent les éléphants,les chiens a embrassé les éléphants,fr,True,chien,éléphant,embrasse
le chien soigne le éléphant,le chien a soigné le éléphant,fr,False,chien,éléphant,soigne
les chiens soignent les éléphants,les chiens a soigné les éléphants,fr,True,chien,éléphant,soigne
le chien poursuit le éléphant,le chien a poursuivi le éléphant,fr,False,chien,éléphant,poursuit
les chiens poursuivent les éléphants,les chiens a poursuivi les éléphants,fr,True,chien,éléphant,poursuit
le chien sauve le éléphant,le chien a sauvé le éléphant,fr,False,chien,éléphant,sauve
les chiens sauvent les éléphants,les chiens a sauvé les éléphants,fr,True,chien,éléphant,sauve
le chien réconforte le éléphant,le chien a réconforté le éléphant,fr,False,chien,éléphant,réconforte
les chiens réconfortent les éléphants,les chiens a réconforté les éléphants,fr,True,chien,éléphant,réconforte
le chien repousse le éléphant,le chien a repoussé le éléphant,fr,False,chien,éléphant,repousse
les chiens repoussent les éléphants,les chiens a repoussé les éléphants,fr,True,chien,éléphant,repousse
le chien regarde le éléphant,le chien a regardé le éléphant,fr,False,chien,éléphant,regarde
les chiens regardent les éléphants,les chiens a regardé les éléphants,fr,True,chien,éléphant,regarde
le chien ignore le éléphant,le chien a ignoré le éléphant,fr,False,chien,éléphant,ignore
les chiens ignorent les éléphants,les chiens a ignoré les éléphants,fr,True,chien,éléphant,ignore
le chien mange le renard,le chien a mangé le renard,fr,False,chien,renard,mange
les chiens mangent les renards,les chiens a mangé les renards,fr,True,chien,renard,mange
le chien voit le renard,le chien a vu le renard,fr,False,chien,renard,voit
les chiens voient les renards,les chiens a vu les renards,fr,True,chien,renard,voit
le chien aime le renard,le chien a aimé le renard,fr,False,chien,renard,aime
les chiens aiment les renards,les chiens a aimé les renards,fr,True,chien,renard,aime
le chien cherche le renard,le chien a cherché le renard,fr,False,chien,renard,cherche
les chiens cherchent les renards,les chiens a cherché les renards,fr,True,chien,renard,cherche
le chien aide le renard,le chien a aidé le renard,fr,False,chien,renard,aide
les chiens aident les renards,les chiens a aidé les renards,fr,True,chien,renard,aide
le chien suit le renard,le chien a suivi le renard,fr,False,chien,renard,suit
les chiens suivent les renards,les chiens a suivi les renards,fr,True,chien,renard,suit
le chien frappe le renard,le chien a frappé le renard,fr,False,chien,renard,frappe
les chiens frappent les renards,les chiens a frappé les renards,fr,True,chien,renard,frappe
le chien porte le renard,le chien a porté le renard,fr,False,chien,renard,porte
les chiens portent les renards,les chiens a porté les renards,fr,True,chien,renard,porte
le chien embrasse le renard,le chien a embrassé le renard,fr,False,chien,renard,embrasse
les chiens embrassent les renards,les chiens a embrassé les renards,fr,True,chien,renard,embrasse
le chien soigne le renard,le chien a soigné le renard,fr,False,chien,renard,soigne
les chiens soignent les renards,les chiens a soigné les renards,fr,True,chien,renard,soigne
le chien poursuit le renard,le chien a poursuivi le renard,fr,False,chien,renard,poursuit
les chiens poursuivent les renards,les chiens a poursuivi les renards,fr,True,chien,renard,poursuit
le chien sauve le renard,le chien a sauvé le renard,fr,False,chien,renard,sauve
les chiens sauvent les renards,les chiens a sauvé les renards,fr,True,chien,renard,sauve
le chien réconforte le renard,le chien a réconforté le renard,fr,False,chien,renard,réconforte
les chiens réconfortent les renards,les chiens a réconforté les renards,fr,True,chien,renard,réconforte
le chien repousse le renard,le chien a repoussé le renard,fr,False,chien,renard,repousse
les chiens repoussent les renards,les chiens a repoussé les renards,fr,True,chien,renard,repousse
le chien regarde le renard,le chien a regardé le renard,fr,False,chien,renard,regarde
les chiens regardent les renards,les chiens a regardé les renards,fr,True,chien,renard,regarde
le chien ignore le renard,le chien a ignoré le renard,fr,False,chien,renard,ignore
les chiens ignorent les renards,les chiens a ignoré les renards,fr,True,chien,renard,ignore
le chien mange le oiseau,le chien a mangé le oiseau,fr,False,chien,oiseau,mange
les chiens mangent les oiseaux,les chiens a mangé les oiseaux,fr,True,chien,oiseau,mange
le chien voit le oiseau,le chien a vu le oiseau,fr,False,chien,oiseau,voit
les chiens voient les oiseaux,les chiens a vu les oiseaux,fr,True,chien,oiseau,voit
le chien aime le oiseau,le chien a aimé le oiseau,fr,False,chien,oiseau,aime
les chiens aiment les oiseaux,les chiens a aimé les oiseaux,fr,True,chien,oiseau,aime
le chien cherche le oiseau,le chien a cherché le oiseau,fr,False,chien,oiseau,cherche
les chiens cherchent les oiseaux,les chiens a cherché les oiseaux,fr,True,chien,oiseau,cherche
le chien aide le oiseau,le chien a aidé le oiseau,fr,False,chien,oiseau,aide
les chiens aident les oiseaux,les chiens a aidé les oiseaux,fr,True,chien,oiseau,aide
le chien suit le oiseau,le chien a suivi le oiseau,fr,False,chien,oiseau,suit
les chiens suivent les oiseaux,les chiens a suivi les oiseaux,fr,True,chien,oiseau,suit
le chien frappe le oiseau,le chien a frappé le oiseau,fr,False,chien,oiseau,frappe
les chiens frappent les oiseaux,les chiens a frappé les oiseaux,fr,True,chien,oiseau,frappe
le chien porte le oiseau,le chien a porté le oiseau,fr,False,chien,oiseau,porte
les chiens portent les oiseaux,les chiens a porté les oiseaux,fr,True,chien,oiseau,porte
le chien embrasse le oiseau,le chien a embrassé le oiseau,fr,False,chien,oiseau,embrasse
les chiens embrassent les oiseaux,les chiens a embrassé les oiseaux,fr,True,chien,oiseau,embrasse
le chien soigne le oiseau,le chien a soigné le oiseau,fr,False,chien,oiseau,soigne
les chiens soignent les oiseaux,les chiens a soigné les oiseaux,fr,True,chien,oiseau,soigne
le chien poursuit le oiseau,le chien a poursuivi le oiseau,fr,False,chien,oiseau,poursuit
les chiens poursuivent les oiseaux,les chiens a poursuivi les oiseaux,fr,True,chien,oiseau,poursuit
le chien sauve le oiseau,le chien a sauvé le oiseau,fr,False,chien,oiseau,sauve
les chiens sauvent les oiseaux,les chiens a sauvé les oiseaux,fr,True,chien,oiseau,sauve
le chien réconforte le oiseau,le chien a réconforté le oiseau,fr,False,chien,oiseau,réconforte
les chiens réconfortent les oiseaux,les chiens a réconforté les oiseaux,fr,True,chien,oiseau,réconforte
le chien repousse le oiseau,le chien a repoussé le oiseau,fr,False,chien,oiseau,repousse
les chiens repoussent les oiseaux,les chiens a repoussé les oiseaux,fr,True,chien,oiseau,repousse
le chien regarde le oiseau,le chien a regardé le oiseau,fr,False,chien,oiseau,regarde
les chiens regardent les oiseaux,les chiens a regardé les oiseaux,fr,True,chien,oiseau,regarde
le chien ignore le oiseau,le chien a ignoré le oiseau,fr,False,chien,oiseau,ignore
les chiens ignorent les oiseaux,les chiens a ignoré les oiseaux,fr,True,chien,oiseau,ignore
le chien mange le enfant,le chien a mangé le enfant,fr,False,chien,enfant,mange
les chiens mangent les enfants,les chiens a mangé les enfants,fr,True,chien,enfant,mange
le chien voit le enfant,le chien a vu le enfant,fr,False,chien,enfant,voit
les chiens voient les enfants,les chiens a vu les enfants,fr,True,chien,enfant,voit
le chien aime le enfant,le chien a aimé le enfant,fr,False,chien,enfant,aime
les chiens aiment les enfants,les chiens a aimé les enfants,fr,True,chien,enfant,aime
le chien cherche le enfant,le chien a cherché le enfant,fr,False,chien,enfant,cherche
les chiens cherchent les enfants,les chiens a cherché les enfants,fr,True,chien,enfant,cherche
le chien aide le enfant,le chien a aidé le enfant,fr,False,chien,enfant,aide
les chiens aident les enfants,les chiens a aidé les enfants,fr,True,chien,enfant,aide
le chien suit le enfant,le chien a suivi le enfant,fr,False,chien,enfant,suit
les chiens suivent les enfants,les chiens a suivi les enfants,fr,True,chien,enfant,suit
le chien frappe le enfant,le chien a frappé le enfant,fr,False,chien,enfant,frappe
les chiens frappent les enfants,les chiens a frappé les enfants,fr,True,chien,enfant,frappe
le chien porte le enfant,le chien a porté le enfant,fr,False,chien,enfant,porte
les chiens portent les enfants,les chiens a porté les enfants,fr,True,chien,enfant,porte
le chien embrasse le enfant,le chien a embrassé le enfant,fr,False,chien,enfant,embrasse
les chiens embrassent les enfants,les chiens a embrassé les enfants,fr,True,chien,enfant,embrasse
le chien soigne le enfant,le chien a soigné le enfant,fr,False,chien,enfant,soigne
les chiens soignent les enfants,les chiens a soigné les enfants,fr,True,chien,enfant,soigne
le chien poursuit le enfant,le chien a poursuivi le enfant,fr,False,chien,enfant,poursuit
les chiens poursuivent les enfants,les chiens a poursuivi les enfants,fr,True,chien,enfant,poursuit
le chien sauve le enfant,le chien a sauvé le enfant,fr,False,chien,enfant,sauve
les chiens sauvent les enfants,les chiens a sauvé les enfants,fr,True,chien,enfant,sauve
le chien réconforte le enfant,le chien a réconforté le enfant,fr,False,chien,enfant,réconforte
les chiens réconfortent les enfants,les chiens a réconforté les enfants,fr,True,chien,enfant,réconforte
le chien repousse le enfant,le chien a repoussé le enfant,fr,False,chien,enfant,repousse
les chiens repoussent les enfants,les chiens a repoussé les enfants,fr,True,chien,enfant,repousse
le chien regarde le enfant,le chien a regardé le enfant,fr,False,chien,enfant,regarde
les chiens regardent les enfants,les chiens a regardé les enfants,fr,True,chien,enfant,regarde
le chien ignore le enfant,le chien a ignoré le enfant,fr,False,chien,enfant,ignore
les chiens ignorent les enfants,les chiens a ignoré les enfants,fr,True,chien,enfant,ignore
le chien mange le docteur,le chien a mangé le docteur,fr,False,chien,docteur,mange
les chiens mangent les docteurs,les chiens a mangé les docteurs,fr,True,chien,docteur,mange
le chien voit le docteur,le chien a vu le docteur,fr,False,chien,docteur,voit
les chiens voient les docteurs,les chiens a vu les docteurs,fr,True,chien,docteur,voit
le chien aime le docteur,le chien a aimé le docteur,fr,False,chien,docteur,aime
les chiens aiment les docteurs,les chiens a aimé les docteurs,fr,True,chien,docteur,aime
le chien cherche le docteur,le chien a cherché le docteur,fr,False,chien,docteur,cherche
les chiens cherchent les docteurs,les chiens a cherché les docteurs,fr,True,chien,docteur,cherche
le chien aide le docteur,le chien a aidé le docteur,fr,False,chien,docteur,aide
les chiens aident les docteurs,les chiens a aidé les docteurs,fr,True,chien,docteur,aide
le chien suit le docteur,le chien a suivi le docteur,fr,False,chien,docteur,suit
les chiens suivent les docteurs,les chiens a suivi les docteurs,fr,True,chien,docteur,suit
le chien frappe le docteur,le chien a frappé le docteur,fr,False,chien,docteur,frappe
les chiens frappent les docteurs,les chiens a frappé les docteurs,fr,True,chien,docteur,frappe
le chien porte le docteur,le chien a porté le docteur,fr,False,chien,docteur,porte
les chiens portent les docteurs,les chiens a porté les docteurs,fr,True,chien,docteur,porte
le chien embrasse le docteur,le chien a embrassé le docteur,fr,False,chien,docteur,embrasse
les chiens embrassent les docteurs,les chiens a embrassé les docteurs,fr,True,chien,docteur,embrasse
le chien soigne le docteur,le chien a soigné le docteur,fr,False,chien,docteur,soigne
les chiens soignent les docteurs,les chiens a soigné les docteurs,fr,True,chien,docteur,soigne
le chien poursuit le docteur,le chien a poursuivi le docteur,fr,False,chien,docteur,poursuit
les chiens poursuivent les docteurs,les chiens a poursuivi les docteurs,fr,True,chien,docteur,poursuit
le chien sauve le docteur,le chien a sauvé le docteur,fr,False,chien,docteur,sauve
les chiens sauvent les docteurs,les chiens a sauvé les docteurs,fr,True,chien,docteur,sauve
le chien réconforte le docteur,le chien a réconforté le docteur,fr,False,chien,docteur,réconforte
les chiens réconfortent les docteurs,les chiens a réconforté les docteurs,fr,True,chien,docteur,réconforte
le chien repousse le docteur,le chien a repoussé le docteur,fr,False,chien,docteur,repousse
les chiens repoussent les docteurs,les chiens a repoussé les docteurs,fr,True,chien,docteur,repousse
le chien regarde le docteur,le chien a regardé le docteur,fr,False,chien,docteur,regarde
les chiens regardent les docteurs,les chiens a regardé les docteurs,fr,True,chien,docteur,regarde
le chien ignore le docteur,le chien a ignoré le docteur,fr,False,chien,docteur,ignore
