input,target,lang,plural,subj,obj,verb
le chien regarde le souris,le chien a regardé le souris,fr,False,chien,souris,regarde
les chiens regardent les souris,les chiens a regardé les souris,fr,True,chien,souris,regarde
le chien ignore le souris,le chien a ignoré le souris,fr,False,chien,souris,ignore
les chiens ignorent les souris,les chiens a ignoré les souris,fr,True,chien,souris,ignore
le chien mange le éléphant,le chien a mangé le éléphant,fr,False,chien,éléphant,mange
les chiens mangent les éléphants,les chiens a mangé les éléphants,fr,True,chien,éléphant,mange
le chien cherche le éléphant,le chien a cherché le éléphant,fr,False,chien,éléphant,cherche
les chiens cherchent les éléphants,les chiens a cherché les éléphants,fr,True,chien,éléphant,cherche
le chien aide le éléphant,le chien a aidé le éléphant,fr,False,chien,éléphant,aide
les chiens aident les éléphants,les chiens a aidé les éléphants,fr,True,chien,éléphant,aide
le chien suit le éléphant,le chien a suivi le éléphant,fr,False,chien,éléphant,suit
les chiens suivent les éléphants,les chiens a suivi les éléphants,fr,True,chien,éléphant,suit
le chien frappe le éléphant,le chien a frappé le éléphant,fr,False,chien,éléphant,frappe
les chiens frappent les éléphants,les chiens a frappé les éléphants,fr,True,chien,éléphant,frappe
le chien porte le éléphant,le chien a porté le éléphant,fr,False,chien,éléphant,porte
les chiens portent les éléphants,les chiens a porté les éléphants,fr,True,chien,éléphant,porte
le chien embrasse le éléphant,le chien a embrassé le éléphant,fr,False,chien,éléphant,embrasse
les chiens embrassent les éléphants,les chiens a embrassé les éléphants,fr,True,chien,éléphant,embrasse
le chien chasse le éléphant,le chien a chassé le éléphant,fr,False,chien,éléphant,chasse
les chiens chassent les éléphants,les chiens a chassé les éléphants,fr,True,chien,éléphant,chasse
le chien observe le éléphant,le chien a observé le éléphant,fr,False,chien,éléphant,observe
les chiens observent les éléphants,les chiens a observé les éléphants,fr,True,chien,éléphant,observe
le chien attaque le éléphant,le chien a attaqué le éléphant,fr,False,chien,éléphant,attaque
les chiens attaquent les éléphants,les chiens a attaqué les éléphants,fr,True,chien,éléphant,attaque
le chien sauve le éléphant,le chien a sauvé le éléphant,fr,False,chien,éléphant,sauve
les chiens sauvent les éléphants,les chiens a sauvé les éléphants,fr,True,chien,éléphant,sauve
le chien repousse le éléphant,le chien a repoussé le éléphant,fr,False,chien,éléphant,repousse
les chiens repoussent les éléphants,les chiens a repoussé les éléphants,fr,True,chien,éléphant,repousse
le chien regarde le éléphant,le chien a regardé le éléphant,fr,False,chien,éléphant,regarde
les chiens regardent les éléphants,les chiens a regardé les éléphants,fr,True,chien,éléphant,regarde
le chien ignore le éléphant,le chien a ignoré le éléphant,fr,False,chien,éléphant,ignore
les chiens ignorent les éléphants,les chiens a ignoré les éléphants,fr,True,chien,éléphant,ignore
le chien mange le renard,le chien a mangé le renard,fr,False,chien,renard,mange
les chiens mangent les renards,les chiens a mangé les renards,fr,True,chien,renard,mange
le chien cherche le renard,le chien a cherché le renard,fr,False,chien,renard,cherche
les chiens cherchent les renards,les chiens a cherché les renards,fr,True,chien,renard,cherche
le chien aide le renard,le chien a aidé le renard,fr,False,chien,renard,aide
les chiens aident les renards,les chiens a aidé les renards,fr,True,chien,renard,aide
le chien suit le renard,le chien a suivi le renard,fr,False,chien,renard,suit
les chiens suivent les renards,les chiens a suivi les renards,fr,True,chien,renard,suit
le chien frappe le renard,le chien a frappé le renard,fr,False,chien,renard,frappe
les chiens frappent les renards,les chiens a frappé les renards,fr,True,chien,renard,frappe
le chien porte le renard,le chien a porté le renard,fr,False,chien,renard,porte
les chiens portent les renards,les chiens a porté les renards,fr,True,chien,renard,porte
le chien embrasse le renard,le chien a embrassé le renard,fr,False,chien,renard,embrasse
les chiens embrassent les renards,les chiens a embrassé les renards,fr,True,chien,renard,embrasse
le chien chasse le renard,le chien a chassé le renard,fr,False,chien,renard,chasse
les chiens chassent les renards,les chiens a chassé les renards,fr,True,chien,renard,chasse
le chien observe le renard,le chien a observé le renard,fr,False,chien,renard,observe
les chiens observent les renards,les chiens a observé les renards,fr,True,chien,renard,observe
le chien attaque le renard,le chien a attaqué le renard,fr,False,chien,renard,attaque
les chiens attaquent les renards,les chiens a attaqué les renards,fr,True,chien,renard,attaque
le chien sauve le renard,le chien a sauvé le renard,fr,False,chien,renard,sauve
les chiens sauvent les renards,les chiens a sauvé les renards,fr,True,chien,renard,sauve
le chien repousse le renard,le chien a repoussé le renard,fr,False,chien,renard,repousse
les chiens repoussent les renards,les chiens a repoussé les renards,fr,True,chien,renard,repousse
le chien regarde le renard,le chien a regardé le renard,fr,False,chien,renard,regarde
les chiens regardent les renards,les chiens a regardé les renards,fr,True,chien,renard,regarde
le chien ignore le renard,le chien a ignoré le renard,fr,False,chien,renard,ignore
les chiens ignorent les renards,les chiens a ignoré les renards,fr,True,chien,renard,ignore
le chien mange le oiseau,le chien a mangé le oiseau,fr,False,chien,oiseau,mange
les chiens mangent les oiseaux,les chiens a mangé les oiseaux,fr,True,chien,oiseau,mange
le chien cherche le oiseau,le chien a cherché le oiseau,fr,False,chien,oiseau,cherche
les chiens cherchent les oiseaux,les chiens a cherché les oiseaux,fr,True,chien,oiseau,cherche
le chien aide le oiseau,le chien a aidé le oiseau,fr,False,chien,oiseau,aide
les chiens aident les oiseaux,les chiens a aidé les oiseaux,fr,True,chien,oiseau,aide
le chien suit le oiseau,le chien a suivi le oiseau,fr,False,chien,oiseau,suit
les chiens suivent les oiseaux,les chiens a suivi les oiseaux,fr,True,chien,oiseau,suit
le chien frappe le oiseau,le chien a frappé le oiseau,fr,False,chien,oiseau,frappe
les chiens frappent les oiseaux,les chiens a frappé les oiseaux,fr,True,chien,oiseau,frappe
le chien porte le oiseau,le chien a porté le oiseau,fr,False,chien,oiseau,porte
les chiens portent les oiseaux,les chiens a porté les oiseaux,fr,True,chien,oiseau,porte
le chien embrasse le oiseau,le chien a embrassé le oiseau,fr,False,chien,oiseau,embrasse
les chiens embrassent les oiseaux,les chiens a embrassé les oiseaux,fr,True,chien,oiseau,embrasse
le chien chasse le oiseau,le chien a chassé le oiseau,fr,False,chien,oiseau,chasse
les chiens chassent les oiseaux,les chiens a chassé les oiseaux,fr,True,chien,oiseau,chasse
le chien observe le oiseau,le chien a observé le oiseau,fr,False,chien,oiseau,observe
les chiens observent les oiseaux,les chiens a observé les oiseaux,fr,True,chien,oiseau,observe
le chien attaque le oiseau,le chien a attaqué le oiseau,fr,False,chien,oiseau,attaque
les chiens attaquent les oiseaux,les chiens a attaqué les oiseaux,fr,True,chien,oiseau,attaque
le chien sauve le oiseau,le chien a sauvé le oiseau,fr,False,chien,oiseau,sauve
les chiens sauvent les oiseaux,les chiens a sauvé les oiseaux,fr,True,chien,oiseau,sauve
le chien repousse le oiseau,le chien a repoussé le oiseau,fr,False,chien,oiseau,repousse
les chiens repoussent les oiseaux,les chiens a repoussé les oiseaux,fr,True,chien,oiseau,repousse
le chien regarde le oiseau,le chien a regardé le oiseau,fr,False,chien,oiseau,regarde
les chiens regardent les oiseaux,les chiens a regardé les oiseaux,fr,True,chien,oiseau,regarde
le chien ignore le oiseau,le chien a ignoré le oiseau,fr,False,chien,oiseau,ignore
les chiens ignorent les oiseaux,les chiens a ignoré les oiseaux,fr,True,chien,oiseau,ignore
le chien mange le enfant,le chien a mangé le enfant,fr,False,chien,enfant,mange
les chiens mangent les enfants,les chiens a mangé les enfants,fr,True,chien,enfant,mange
le chien cherche le enfant,le chien a cherché le enfant,fr,False,chien,enfant,cherche
les chiens cherchent les enfants,les chiens a cherché les enfants,fr,True,chien,enfant,cherche
le chien aide le enfant,le chien a aidé le enfant,fr,False,chien,enfant,aide
les chiens aident les enfants,les chiens a aidé les enfants,fr,True,chien,enfant,aide
le chien suit le enfant,le chien a suivi le enfant,fr,False,chien,enfant,suit
les chiens suivent les enfants,les chiens a suivi les enfants,fr,True,chien,enfant,suit
le chien frappe le enfant,le chien a frappé le enfant,fr,False,chien,enfant,frappe
les chiens frappent les enfants,les chiens a frappé les enfants,fr,True,chien,enfant,frappe
le chien porte le enfant,le chien a porté le enfant,fr,False,chien,enfant,porte
les chiens portent les enfants,les chiens a porté les enfants,fr,True,chien,enfant,porte
le chien embrasse le enfant,le chien a embrassé le enfant,fr,False,chien,enfant,embrasse
les chiens embrassent les enfants,les chiens a embrassé les enfants,fr,True,chien,enfant,embrasse
le chien chasse le enfant,le chien a chassé le enfant,fr,False,chien,enfant,chasse
les chiens chassent les enfants,les chiens a chassé les enfants,fr,True,chien,enfant,chasse
le chien observe le enfant,le chien a observé le enfant,fr,False,chien,enfant,observe
les chiens observent les enfants,les chiens a observé les enfants,fr,True,chien,enfant,observe
le chien attaque le enfant,le chien a attaqué le enfant,fr,False,chien,enfant,attaque
les chiens attaquent les enfants,les chiens a attaqué les enfants,fr,True,chien,enfant,attaque
le chien sauve le enfant,le chien a sauvé le enfant,fr,False,chien,enfant,sauve
les chiens sauvent les enfants,les chiens a sauvé les enfants,fr,True,chien,enfant,sauve
le chien repousse le enfant,le chien a repoussé le enfant,fr,False,chien,enfant,repousse
les chiens repoussent les enfants,les chiens a repoussé les enfants,fr,True,chien,enfant,repousse
le chien regarde le enfant,le chien a regardé le enfant,fr,False,chien,enfant,regarde
les chiens regardent les enfants,les chiens a regardé les enfants,fr,True,chien,enfant,regarde
le chien ignore le enfant,le chien a ignoré le enfant,fr,False,chien,enfant,ignore
les chiens ignorent les enfants,les chiens a ignoré les enfants,fr,True,chien,enfant,ignore
le chien mange le docteur,le chien a mangé le docteur,fr,False,chien,docteur,mange
les chiens mangent les docteurs,les chiens a mangé les docteurs,fr,True,chien,docteur,mange
le chien cherche le docteur,le chien a cherché le docteur,fr,False,chien,docteur,cherche
les chiens cherchent les docteurs,les chiens a cherché les docteurs,fr,True,chien,docteur,cherche
le chien aide le docteur,le chien a aidé le docteur,fr,False,chien,docteur,aide
les chiens aident les docteurs,les chiens a aidé les docteurs,fr,True,chien,docteur,aide
le chien suit le docteur,le chien a suivi le docteur,fr,False,chien,docteur,suit
les chiens suivent les docteurs,les chiens a suivi les docteurs,fr,True,chien,docteur,suit
le chien frappe le docteur,le chien a frappé le docteur,fr,False,chien,docteur,frappe
les chiens frappent les docteurs,les chiens a frappé les docteurs,fr,True,chien,docteur,frappe
le chien porte le docteur,le chien a porté le docteur,fr,False,chien,docteur,porte
les chiens portent les docteurs,les chiens a porté les docteurs,fr,True,chien,docteur,porte
le chien embrasse le docteur,le chien a embrassé le docteur,fr,False,chien,docteur,embrasse
les chiens embrassent les docteurs,les chiens a embrassé les docteurs,fr,True,chien,docteur,embrasse
le chien chasse le docteur,le chien a chassé le docteur,fr,False,chien,docteur,chasse
les chiens chassent les docteurs,les chiens a chassé les docteurs,fr,True,chien,docteur,chasse
le chien observe le docteur,le chien a observé le docteur,fr,False,chien,docteur,observe
les chiens observent les docteurs,les chiens a observé les docteurs,fr,True,chien,docteur,observe
le chien attaque le docteur,le chien a attaqué le docteur,fr,False,chien,docteur,attaque
les chiens attaquent les docteurs,les chiens a attaqué les docteurs,fr,True,chien,docteur,attaque
le chien sauve le docteur,le chien a sauvé le docteur,fr,False,chien,docteur,sauve
les chiens sauvent les docteurs,les chiens a sauvé les docteurs,fr,True,chien,docteur,sauve
le chien repousse le docteur,le chien a repoussé le docteur,fr,False,chien,docteur,repousse
les chiens repoussent les docteurs,les chiens a repoussé les docteurs,fr,True,chien,docteur,repousse
le chien regarde le docteur,le chien a regardé le docteur,fr,False,chien,docteur,regarde
les chiens regardent les docteurs,les chiens a regardé les docteurs,fr,True,chien,docteur,regarde
le chien ignore le docteur,le chien a ignoré le docteur,fr,False,chien,docteur,ignore
les chiens ignorent les docteurs,les chiens a ignoré les docteurs,fr,True,chien,docteur,ignore
le chien mange le fille,le chien a mangé le fille,fr,False,chien,fille,mange
les chiens mangent les filles,les chiens a mangé les filles,fr,True,chien,fille,mange
le chien cherche le fille,le chien a cherché le fille,fr,False,chien,fille,cherche
les chiens cherchent les filles,les chiens a cherché les filles,fr,True,chien,fille,cherche
le chien aide le fille,le chien a aidé le fille,fr,False,chien,fille,aide
les chiens aident les filles,les chiens a aidé les filles,fr,True,chien,fille,aide
le chien suit le fille,le chien a suivi le fille,fr,False,chien,fille,suit
les chiens suivent les filles,les chiens a suivi les filles,fr,True,chien,fille,suit
le chien frappe le fille,le chien a frappé le fille,fr,False,chien,fille,frappe
les chiens frappent les filles,les chiens a frappé les filles,fr,True,chien,fille,frappe
le chien porte le fille,le chien a porté le fille,fr,False,chien,fille,porte
les chiens portent les filles,les chiens a porté les filles,fr,True,chien,fille,porte
le chien embrasse le fille,le chien a embrassé le fille,fr,False,chien,fille,embrasse
les chiens embrassent les filles,les chiens a embrassé les filles,fr,True,chien,fille,embrasse
le chien chasse le fille,le chien a chassé le fille,fr,False,chien,fille,chasse
les chiens chassent les filles,les chiens a chassé les filles,fr,True,chien,fille,chasse
le chien observe le fille,le chien a observé le fille,fr,False,chien,fille,observe
les chiens observent les filles,les chiens a observé les filles,fr,True,chien,fille,observe
le chien attaque le fille,le chien a attaqué le fille,fr,False,chien,fille,attaque
les chiens attaquent les filles,les chiens a attaqué les filles,fr,True,chien,fille,attaque
le chien sauve le fille,le chien a sauvé le fille,fr,False,chien,fille,sauve
les chiens sauvent les filles,les chiens a sauvé les filles,fr,True,chien,fille,sauve
le chien repousse le fille,le chien a repoussé le fille,fr,False,chien,fille,repousse
les chiens repoussent les filles,les chiens a repoussé les filles,fr,True,chien,fille,repousse
le chien regarde le fille,le chien a regardé le fille,fr,False,chien,fille,regarde
les chiens regardent les filles,les chiens a regardé les filles,fr,True,chien,fille,regarde
le chien ignore le fille,le chien a ignoré le fille,fr,False,chien,fille,ignore
les chiens ignorent les filles,les chiens a ignoré les filles,fr,True,chien,fille,ignore
le chien mange le garçon,le chien a mangé le garçon,fr,False,chien,garçon,mange
les chiens mangent les garçons,les chiens a mangé les garçons,fr,True,chien,garçon,mange
le chien cherche le garçon,le chien a cherché le garçon,fr,False,chien,garçon,cherche
les chiens cherchent les garçons,les chiens a cherché les garçons,fr,True,chien,garçon,cherche
le chien aide le garçon,le chien a aidé le garçon,fr,False,chien,garçon,aide
les chiens aident les garçons,les chiens a aidé les garçons,fr,True,chien,garçon,aide
le chien suit le garçon,le chien a suivi le garçon,fr,False,chien,garçon,suit
les chiens suivent les garçons,les chiens a suivi les garçons,fr,True,chien,garçon,suit
le chien frappe le garçon,le chien a frappé le garçon,fr,False,chien,garçon,frappe
les chiens frappent les garçons,les chiens a frappé les garçons,fr,True,chien,garçon,frappe
le chien porte le garçon,le chien a porté le garçon,fr,False,chien,garçon,porte
les chiens portent les garçons,les chiens a porté les garçons,fr,True,chien,garçon,porte
le chien embrasse le garçon,le chien a embrassé le garçon,fr,False,chien,garçon,embrasse
les chiens embrassent les garçons,les chiens a embrassé les garçons,fr,True,chien,garçon,embrasse
le chien chasse le garçon,le chien a chassé le garçon,fr,False,chien,garçon,chasse
les chiens chassent les garçons,les chiens a chassé les garçons,fr,True,chien,garçon,chasse
le chien observe le garçon,le chien a observé le garçon,fr,False,chien,garçon,observe
les chiens observent les garçons,les chiens a observé les garçons,fr,True,chien,garçon,observe
le chien attaque le garçon,le chien a attaqué le garçon,fr,False,chien,garçon,attaque
les chiens attaquent les garçons,les chiens a attaqué les garçons,fr,True,chien,garçon,attaque
